Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Gotspace Wallingford 2 Campus,Barnes Industrial Rd S / Tankwood Rd,-72.8039104,41.4792425,GEOMETRIC_CENTER,4380,0.5
Gotspace Wallingford 2 - Building 4,Barnes Industrial Rd S,-72.8039104,41.4792425,GEOMETRIC_CENTER,4380,0.5
Gotspace Wallingford 2 - Building 5,Barnes Industrial Rd S,-72.8039104,41.4792425,GEOMETRIC_CENTER,4380,0.5
Gotspace Wallingford 2 - Building 2,Tankwood Rd,-72.7828484,41.4987184,GEOMETRIC_CENTER,4380,0.5
Gotspace Groton North Campus,Orchard Dr,-72.02469511,41.38189231,GoogleMap,4380,0.5
Gotspace Groton South Campus,Flanders Rd,-72.00673498,41.36924133,GoogleMap,4380,0.5
Gotspace Groton North - Building 3,Orchard Dr,-72.02469511,41.38189231,GoogleMap,4380,0.5
Gotspace Groton South - Building 3,Flanders Rd,-72.00673498,41.36924133,GoogleMap,4380,0.5
Gotspace Groton North - Building 2,Orchard Dr,-72.02469511,41.38189231,GoogleMap,4380,0.5
Gotspace Groton North - Building 1,Orchard Dr,-72.02469511,41.38189231,GoogleMap,4380,0.5
Gotspace Groton South - Building 1,Flanders Rd,-72.00673498,41.36924133,GoogleMap,4380,0.5
Gotspace Groton South - Building 2,Flanders Rd,-72.00673498,41.36924133,GoogleMap,4380,0.5
The Computer Company Inc.,15 Commerce Drive,-72.66808292,41.76075229,GoogleMap,4380,0.5
CVM,780 East Main Street,-72.75176628,41.3081419,GoogleMap,4380,0.5
Lumen New Haven,54 Meadow Street,-72.9262876,41.2998783,ROOFTOP,4380,0.5
"ChimeNet, Inc,",110 Barnes  Rd,-72.80113162,41.48662554,GoogleMap,4380,0.5
CAPS,2 Enterprise Drive,-73.12490186,41.27810046,GoogleMap,4380,0.5
FirstLight Williston VT,45 Krupp Dr,-73.1275173,44.4502079,ROOFTOP,101074.78,11.53821689
StoweVT,571 south main ST,-72.69303981,44.45893934,GoogleMap,101074.78,11.53821689
"SNS Littleton, NH",775 Industrial Park Rd.,-71.79850883,44.29330159,GoogleMap,1946.66667,0.22222222
Consolidated Manchester,770 Elm St,-71.46366906,42.98902721,GoogleMap,1946.66667,0.22222222
FirstLight Manchester NH,77 Sundial Ave,-71.4705899,42.9717838,ROOFTOP,1946.66667,0.22222222
Peregrine Networks Data Center,27 Lowell Street,-70.9283176,42.5265183,ROOFTOP,1946.66667,0.22222222
FirstLight Keene NH,310 Marlboro St,-72.26767503,42.9256914,GoogleMap,1946.66667,0.22222222
Consolidated Laconia,762 N Main St,-71.47326434,43.53145918,GoogleMap,1946.66667,0.22222222
FirstLight Lebanon NH,16 Cavendish Ct,-72.25616619,43.67892049,GoogleMap,1946.66667,0.22222222
FirstLight Data Center,14 Resilient Circle,-69.9231996,43.8949831,ROOFTOP,5256,0.6
Gotspace Griswold 1 Campus,29 Barber Rd,1.344646756,52.62750996,GoogleMap,4380,0.5
Gotspace Griswold 1 - Building 3,29 Barber Rd,1.344646756,52.62750996,GoogleMap,4380,0.5
Gotspace Griswold 1 - Building 1,29 Barber Rd,1.344646756,52.62750996,GoogleMap,4380,0.5
Gotspace Griswold 1 - Building 2,29 Barber Rd,1.344646756,52.62750996,GoogleMap,4380,0.5
Crown Castle Marlborough,34 St. Martin,114.2042117,22.4302237,ROOFTOP,20830.76471,2.377941176
34 St. Martin Drive,34 St. Martin Drive,103.824394,1.3058295,GEOMETRIC_CENTER,20830.76471,2.377941176
FirstLight Bedford,8 Commerce Drive,106.782216,-6.221499,ROOFTOP,1946.66667,0.22222222
