Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Lumen Tampa 3,1700 N 25th Street,-87.9451845,43.0527721,RANGE_INTERPOLATED,11252.68293,1.284552846
Centersquare - Washington DC IAD3-A,22995 Wilder Ct,-87.957022,44.4742827,GEOMETRIC_CENTER,71566.85412,8.169732206
JMF IXP Farm Columbus,8 Corporate Ridge pkwy,-84.8835756,32.4982532,ROOFTOP,73516.55952,8.392301316
FOGO Solutions - Atlanta Region,340 Tom Reeve Drive,-85.0906687,33.5582488,ROOFTOP,73516.55952,8.392301316
PocketiNet Walla Walla,45 Terminal Loop Rd,-98.0519533,29.6051368,RANGE_INTERPOLATED,58108,6.6333333
TierPoint Milwaukee,3701 W. Burnham St.,-87.9612175,43.0094349,ROOFTOP,3918.947368,0.447368421
The Wells Building,324 E Wisconsin Ave,-87.90704551,43.03904151,GoogleMap,3918.947368,0.447368421
Aventus Lakes,7901 W Clinton Ave,-88.0096289,43.1513489,ROOFTOP,3918.947368,0.447368421
Cogent Data Center - Milwaukee,324 East Wisconsin Avenue,-87.9070463,43.0390402,ROOFTOP,3918.947368,0.447368421
TSR Solutions,324 E. Wisconsin,-88.7878678,43.7844397,APPROXIMATE,3918.947368,0.447368421
Lumen Milwaukee,3235 Intertech Dr,-88.1848009,43.077579,ROOFTOP,3918.947368,0.447368421
ISCorp South MQN,10235 N. Port Washington Rd,-87.9254176,43.2040964,ROOFTOP,3918.947368,0.447368421
ISCorp North MQN,10325 N. Port Washington Rd,-87.9252002,43.2054232,ROOFTOP,3918.947368,0.447368421
Netwurx Milwaukee,324 E. Wisconsin Ave,-87.9070463,43.03904213,GoogleMap,3918.947368,0.447368421
RMM Solutions - Milwaukee,10400 W Innovation Drive,-88.04206334,43.04262815,GoogleMap,3918.947368,0.447368421
US Signal Madison,222 W Washington,-89.38700452,43.07333169,GoogleMap,3918.947368,0.447368421
5NINES Data Center,222 W Washington Ave,-89.3870026,43.073331,ROOFTOP,3918.947368,0.447368421
SupraNet Madison,8000 Excelsior Drive,-89.5242655,43.0755646,ROOFTOP,3918.947368,0.447368421
Lumen Madison,612 W Main St,-89.39242211,43.06774856,GoogleMap,3918.947368,0.447368421
