Data_center,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,market,Number_of_Market_Data_Centers,states,Number_of_States_Data_Centers
Aon Center,33566.97482,3.831846441,707 Wilshire Boulevard,-118.2570021,34.0492187,ROOFTOP,Los Angeles,68,California,271
Quinby Building,33566.97482,3.831846441,650 South Grand Avenue,-118.2561798,34.0474225,ROOFTOP,Los Angeles,68,California,271
Downtown Colo Corporation,33566.97482,3.831846441,624 South Grand Avenue,-118.2553576,34.0479477,ROOFTOP,Los Angeles,68,California,271
Vertex SSX,33566.97482,3.831846441,615 S. Grand Avenue,-118.2500386,34.0542995,GEOMETRIC_CENTER,Los Angeles,68,California,271
WebNX LAX,33566.97482,3.831846441,530 West 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,Los Angeles,68,California,271
2334 Lundy Place (SJC26),33566.97482,3.831846441,2334 Lundy Place,-121.8894616,37.4039431,ROOFTOP,San Jose,31,California,271
150 South First St,33566.97482,3.831846441,150 South First Street,-121.8813797,37.3238204,GEOMETRIC_CENTER,San Jose,31,California,271
Equinix SV1,33566.97482,3.831846441,11 Great Oaks Boulevard,-121.7833286,37.2415906,ROOFTOP,San Jose,31,California,271
Equinix SV3,33566.97482,3.831846441,1735 Lundy Ave,-121.8885624,37.3881855,ROOFTOP,San Jose,31,California,271
Prime San Jose,33566.97482,3.831846441,6580 Via del Oro,-121.7823671,37.2353384,ROOFTOP,San Jose,31,California,271
Element Critical Silicon Valley,33566.97482,3.831846441,1360 Kifer Rd,-121.9874965,37.3720711,ROOFTOP,San Jose,31,California,271
Evocative OAK1,33566.97482,3.831846441,1400 65th Stret,-122.2927661,37.84685993,GoogleMap,San Jose,31,California,271
CoreSite San Jose (SV1),33566.97482,3.831846441,55 South Market Street,-121.8917214,37.3341801,ROOFTOP,San Jose,31,California,271
QTS Santa Clara I & II,33566.97482,3.831846441,2805/2807 Mission College Blvd,-121.978398,37.3927539,ROOFTOP,San Jose,31,California,271
Rackspace San Jose,33566.97482,3.831846441,150 South 1st St,-121.8879416,37.33364378,GoogleMap,San Jose,31,California,271
Equinix SV11,33566.97482,3.831846441,5 Great Oaks Boulevard,-121.7845084,37.242022,ROOFTOP,San Jose,31,California,271
CoreSite Santa Clara (SV2),33566.97482,3.831846441,1656 McCarthy Blvd.,-121.9162408,37.4056888,ROOFTOP,San Jose,31,California,271
Equinix SV10,33566.97482,3.831846441,7 Great Oaks Boulevard,-121.7849556,37.2413955,ROOFTOP,San Jose,31,California,271
STACK Infrastructure SVY01B,33566.97482,3.831846441,2001 Fortune Drive,-121.8932703,37.4018402,ROOFTOP,San Jose,31,California,271
Evocative SJC7,33566.97482,3.831846441,534 Stockton Ave,-121.9101958,37.3384465,ROOFTOP,San Jose,31,California,271
STACK Infrastructure SVY01A,33566.97482,3.831846441,2001 Fortune Drive,-121.8928701,37.40208135,GoogleMap,San Jose,31,California,271
ColoCrossing SJ1,33566.97482,3.831846441,55 S. Market Street,-121.8917214,37.33422273,GoogleMap,San Jose,31,California,271
Equinix SV5,33566.97482,3.831846441,9 Great Oaks Boulevard,-121.7816047,37.2418698,ROOFTOP,San Jose,31,California,271
Amazon AWS SFO - Arroyo,33566.97482,3.831846441,Camino Arroyo / Arroyo Circle,-121.5626114,37.0209345,GEOMETRIC_CENTER,San Jose,31,California,271
H5 Data Centers San Jose,33566.97482,3.831846441,2030 Fortune Dr,-121.8929031,37.4010674,GEOMETRIC_CENTER,San Jose,31,California,271
STACK Infrastructure SVY06,33566.97482,3.831846441,1849 Fortune Dr,-121.8929031,37.4010674,GEOMETRIC_CENTER,San Jose,31,California,271
STACK Infrastructure SVY05,33566.97482,3.831846441,2400 Ringwood Ave,-121.8950378,37.4029146,ROOFTOP,San Jose,31,California,271
Synoptek - San Jose Data Center,33566.97482,3.831846441,11 Great Oaks Blvd,-121.7833286,37.2415906,ROOFTOP,San Jose,31,California,271
SVCOLO Sunnyvale,33566.97482,3.831846441,1111 Karlstad,13.5114977,59.4021806,APPROXIMATE,San Jose,31,California,271
